col	role
ENSG00000052841	predictor
ENSG00000053108	predictor
ENSG00000053254	predictor
ENSG00000053371	predictor
ENSG00000053372	predictor
ENSG00000053438	predictor
ENSG00000053501	predictor
ENSG00000053524	predictor
ENSG00000053702	predictor
ENSG00000053747	predictor
ENSG00000053770	predictor
ENSG00000053900	predictor
ENSG00000053918	predictor
ENSG00000054116	predictor
ENSG00000054118	predictor
ENSG00000054148	predictor
ENSG00000054179	predictor
ENSG00000054219	predictor
ENSG00000054267	predictor
ENSG00000054277	predictor
ENSG00000054282	predictor
ENSG00000054392	predictor
ENSG00000054523	predictor
ENSG00000054598	predictor
ENSG00000054611	predictor
ENSG00000054654	predictor
ENSG00000054690	predictor
ENSG00000054793	predictor
ENSG00000054965	predictor
ENSG00000054967	predictor
ENSG00000054983	predictor
ENSG00000055044	predictor
ENSG00000055070	predictor
ENSG00000055130	predictor
ENSG00000055147	predictor
ENSG00000055163	predictor
ENSG00000055208	predictor
ENSG00000055211	predictor
ENSG00000055332	predictor
ENSG00000055483	predictor
ENSG00000055609	predictor
ENSG00000055732	predictor
ENSG00000055917	predictor
ENSG00000055950	predictor
ENSG00000055955	predictor
ENSG00000055957	predictor
ENSG00000056050	predictor
ENSG00000056097	predictor
ENSG00000056277	predictor
ENSG00000056558	predictor
ENSG00000056586	predictor
ENSG00000056736	predictor
ENSG00000056972	predictor
ENSG00000056998	predictor
ENSG00000057019	predictor
ENSG00000057149	predictor
ENSG00000057252	predictor
ENSG00000057294	predictor
ENSG00000057608	predictor
ENSG00000057657	predictor
ENSG00000057663	predictor
ENSG00000057704	predictor
ENSG00000057757	predictor
ENSG00000057935	predictor
ENSG00000058056	predictor
ENSG00000058063	predictor
ENSG00000058085	predictor
ENSG00000058091	predictor
ENSG00000058262	predictor
ENSG00000058272	predictor
ENSG00000058335	predictor
ENSG00000058404	predictor
ENSG00000058453	predictor
ENSG00000058600	predictor
ENSG00000058668	predictor
ENSG00000058673	predictor
ENSG00000058729	predictor
ENSG00000058799	predictor
ENSG00000058804	predictor
ENSG00000058866	predictor
ENSG00000059122	predictor
ENSG00000059145	predictor
ENSG00000059377	predictor
ENSG00000059378	predictor
ENSG00000059573	predictor
ENSG00000059588	predictor
ENSG00000059691	predictor
ENSG00000059728	predictor
ENSG00000059758	predictor
ENSG00000059769	predictor
ENSG00000059804	predictor
ENSG00000059915	predictor
ENSG00000060069	predictor
ENSG00000060138	predictor
ENSG00000060140	predictor
ENSG00000060237	predictor
ENSG00000060339	predictor
ENSG00000060491	predictor
ENSG00000060558	predictor
ENSG00000060642	predictor
ENSG00000060656	predictor
ENSG00000060688	predictor
ENSG00000060709	predictor
ENSG00000060749	predictor
ENSG00000060762	predictor
ENSG00000060971	predictor
ENSG00000060982	predictor
ENSG00000061273	predictor
ENSG00000061337	predictor
ENSG00000061455	predictor
ENSG00000061656	predictor
ENSG00000061676	predictor
ENSG00000061794	predictor
ENSG00000061918	predictor
ENSG00000061936	predictor
ENSG00000061938	predictor
ENSG00000061987	predictor
ENSG00000062038	predictor
ENSG00000062194	predictor
ENSG00000062282	predictor
ENSG00000062370	predictor
ENSG00000062485	predictor
ENSG00000062524	predictor
ENSG00000062582	predictor
ENSG00000062598	predictor
ENSG00000062650	predictor
ENSG00000062716	predictor
ENSG00000062725	predictor
ENSG00000062822	predictor
ENSG00000063015	predictor
ENSG00000063046	predictor
ENSG00000063127	predictor
ENSG00000063169	predictor
ENSG00000063176	predictor
ENSG00000063177	predictor
ENSG00000063180	predictor
ENSG00000063241	predictor
ENSG00000063244	predictor
ENSG00000063245	predictor
ENSG00000063322	predictor
ENSG00000063587	predictor
ENSG00000063601	predictor
ENSG00000063660	predictor
ENSG00000063761	predictor
ENSG00000063854	predictor
ENSG00000063978	predictor
ENSG00000064012	predictor
ENSG00000064042	predictor
ENSG00000064102	predictor
ENSG00000064115	predictor
ENSG00000064199	predictor
ENSG00000064201	predictor
ENSG00000064205	predictor
ENSG00000064218	predictor
ENSG00000064225	predictor
ENSG00000064270	predictor
ENSG00000064300	predictor
ENSG00000064309	predictor
ENSG00000064313	predictor
ENSG00000064393	predictor
ENSG00000064419	predictor
ENSG00000064489	predictor
ENSG00000064490	predictor
ENSG00000064545	predictor
ENSG00000064547	predictor
ENSG00000064601	predictor
ENSG00000064607	predictor
ENSG00000064651	predictor
ENSG00000064652	predictor
ENSG00000064655	predictor
ENSG00000064666	predictor
ENSG00000064687	predictor
ENSG00000064692	predictor
ENSG00000064703	predictor
ENSG00000064726	predictor
ENSG00000064763	predictor
ENSG00000064787	predictor
ENSG00000064886	predictor
ENSG00000064932	predictor
ENSG00000064933	predictor
ENSG00000064961	predictor
ENSG00000064989	predictor
ENSG00000064995	predictor
ENSG00000064999	predictor
ENSG00000065000	predictor
ENSG00000065029	predictor
ENSG00000065054	predictor
ENSG00000065057	predictor
ENSG00000065060	predictor
ENSG00000065135	predictor
ENSG00000065150	predictor
ENSG00000065154	predictor
ENSG00000065183	predictor
ENSG00000065243	predictor
ENSG00000065268	predictor
ENSG00000065308	predictor
ENSG00000065320	predictor
ENSG00000065328	predictor
ENSG00000065357	predictor
ENSG00000065361	predictor
ENSG00000065413	predictor
ENSG00000065427	predictor
ENSG00000065457	predictor
ENSG00000065485	predictor
ENSG00000065491	predictor
ENSG00000065518	predictor
ENSG00000065526	predictor
ENSG00000065534	predictor
ENSG00000065548	predictor
ENSG00000065559	predictor
ENSG00000065600	predictor
ENSG00000065613	predictor
ENSG00000065615	predictor
ENSG00000065618	predictor
ENSG00000065621	predictor
ENSG00000065665	predictor
ENSG00000065675	predictor
ENSG00000065717	predictor
ENSG00000065802	predictor
ENSG00000065809	predictor
ENSG00000065833	predictor
ENSG00000065882	predictor
ENSG00000065883	predictor
ENSG00000065911	predictor
ENSG00000065923	predictor
ENSG00000065970	predictor
ENSG00000065978	predictor
ENSG00000065989	predictor
ENSG00000066027	predictor
ENSG00000066032	predictor
ENSG00000066044	predictor
ENSG00000066056	predictor
ENSG00000066084	predictor
ENSG00000066117	predictor
ENSG00000066135	predictor
ENSG00000066136	predictor
ENSG00000066185	predictor
ENSG00000066230	predictor
ENSG00000066248	predictor
ENSG00000066279	predictor
ENSG00000066294	predictor
ENSG00000066322	predictor
ENSG00000066336	predictor
ENSG00000066379	predictor
ENSG00000066382	predictor
ENSG00000066405	predictor
ENSG00000066422	predictor
ENSG00000066427	predictor
ENSG00000066455	predictor
ENSG00000066468	predictor
ENSG00000066557	predictor
ENSG00000066583	predictor
ENSG00000066629	predictor
ENSG00000066651	predictor
ENSG00000066654	predictor
ENSG00000066697	predictor
ENSG00000066739	predictor
ENSG00000066777	predictor
ENSG00000066813	predictor
ENSG00000066827	predictor
ENSG00000066855	predictor
ENSG00000066923	predictor
ENSG00000066926	predictor
ENSG00000066933	predictor
ENSG00000067048	predictor
ENSG00000067057	predictor
ENSG00000067064	predictor
ENSG00000067066	predictor
ENSG00000067082	predictor
ENSG00000067113	predictor
ENSG00000067141	predictor
ENSG00000067167	predictor
ENSG00000067177	predictor
ENSG00000067182	predictor
ENSG00000067191	predictor
ENSG00000067208	predictor
ENSG00000067221	predictor
ENSG00000067225	predictor
ENSG00000067248	predictor
ENSG00000067334	predictor
ENSG00000067365	predictor
ENSG00000067369	predictor
ENSG00000067445	predictor
ENSG00000067533	predictor
ENSG00000067560	predictor
ENSG00000067596	predictor
ENSG00000067606	predictor
ENSG00000067646	predictor
ENSG00000067704	predictor
ENSG00000067798	predictor
ENSG00000067829	predictor
ENSG00000067836	predictor
ENSG00000067840	predictor
ENSG00000067900	predictor
ENSG00000067955	predictor
ENSG00000067992	predictor
ENSG00000068001	predictor
ENSG00000068024	predictor
ENSG00000068028	predictor
ENSG00000068078	predictor
ENSG00000068079	predictor
ENSG00000068097	predictor
ENSG00000068120	predictor
ENSG00000068137	predictor
ENSG00000068305	predictor
ENSG00000068308	predictor
ENSG00000068323	predictor
ENSG00000068354	predictor
ENSG00000068366	predictor
ENSG00000068383	predictor
ENSG00000068394	predictor
ENSG00000068400	predictor
ENSG00000068438	predictor
ENSG00000068489	predictor
ENSG00000068615	predictor
ENSG00000068650	predictor
ENSG00000068654	predictor
ENSG00000068697	predictor
ENSG00000068724	predictor
ENSG00000068745	predictor
ENSG00000068784	predictor
ENSG00000068796	predictor
ENSG00000068831	predictor
ENSG00000068878	predictor
ENSG00000068885	predictor
ENSG00000068903	predictor
ENSG00000068912	predictor
ENSG00000068971	predictor
ENSG00000068976	predictor
ENSG00000069011	predictor
ENSG00000069020	predictor
ENSG00000069122	predictor
ENSG00000069188	predictor
